date,rain,temp,rhum,sun,vis
25/12/2017,0.558333333,5.991666667,93.25,0,15750
26/12/2017,0,2.183333333,90.29166667,0.154166667,28000
27/12/2017,0,0.8625,88.04166667,0.241666667,36666.66667
28/12/2017,0,0.7625,87.83333333,0.2125,26666.66667
29/12/2017,0.279166667,4.7875,81.25,0.141666667,24583.33333
30/12/2017,0.579166667,6.6875,85.45833333,0.016666667,18791.66667
31/12/2017,0.008333333,6.733333333,77.75,0.154166667,27708.33333
01/12/2018,0.254166667,8.279166667,95.33333333,0.004166667,10525
02/12/2018,0.125,10.625,88.91666667,0.05,18979.16667
03/12/2018,0.1375,6.1125,88.5,0.2125,33541.66667
04/12/2018,0.020833333,3.275,86.29166667,0.004166667,32916.66667
05/12/2018,0.5875,8.704166667,96.70833333,0.008333333,9137.5
06/12/2018,0.075,11.225,89.16666667,0,21333.33333
07/12/2018,0.179166667,7.641666667,79.45833333,0.183333333,26083.33333
08/12/2018,0.104166667,8.170833333,81.875,0.045833333,18000
09/12/2018,0.041666667,7.2,86.25,0.233333333,24333.33333
10/12/2018,0.004166667,5.895833333,88.54166667,0.008333333,28333.33333
11/12/2018,0.075,7.4375,91.29166667,0.004166667,19062.5
12/12/2018,0.145833333,8.454166667,90.45833333,0.025,18958.33333
13/12/2018,0.008333333,6.2375,73.79166667,0,21833.33333
14/12/2018,0.116666667,5.85,82.33333333,0,15333.33333
15/12/2018,0.4375,7.0875,90.5,0,9416.666667
16/12/2018,0.008333333,5.433333333,83.16666667,0.004166667,29583.33333
17/12/2018,0,8.283333333,81.95833333,0.004166667,25958.33333
18/12/2018,0.1625,9.145833333,81.79166667,0.020833333,23833.33333
19/12/2018,0.008333333,6.358333333,78.5,0.0625,33333.33333
20/12/2018,0.0375,6.85,88.625,0.058333333,22416.66667
21/12/2018,0.154166667,6.841666667,90.20833333,0.004166667,16333.33333
22/12/2018,0.033333333,7.483333333,86.04166667,0.108333333,31041.66667
23/12/2018,0.645833333,6.158333333,97.25,0,10479.16667
24/12/2018,0,7.204166667,91.91666667,0.004166667,27416.66667
25/12/2018,0,7.816666667,94.41666667,0,9395.833333
26/12/2018,0,9.491666667,85.875,0.0625,25083.33333
27/12/2018,0,9.016666667,87.79166667,0,27291.66667
28/12/2018,0.004166667,10.29166667,88.41666667,0.016666667,16500
29/12/2018,0.004166667,10.99583333,90.04166667,0.1,19750
30/12/2018,0,10.47083333,85.625,0.045833333,29375
31/12/2018,0.004166667,9.458333333,78.125,0,32500
